,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,421,36068,63,17,17,0,0,2,0,410,34956,17,17,43,2,0,2,0,0
0,422,31133,36,11,16,2,0,0,0,481,35863,16,11,24,0,1,3,0,0
0,440,30230,37,7,16,0,0,1,0,469,35886,16,7,49,2,1,2,0,0
0,397,37336,30,26,17,2,0,1,0,368,34428,17,26,76,0,1,3,0,1
0,445,34207,55,11,9,2,1,3,0,441,31430,9,11,40,1,0,0,0,1
0,374,33597,33,15,34,0,0,0,0,453,48392,34,15,35,2,1,10,2,0
0,494,36612,186,13,9,1,1,2,0,476,32746,9,13,44,2,0,2,0,1
0,345,33362,63,16,18,1,2,2,0,354,32804,18,16,29,1,0,2,0,0
0,375,30183,29,12,24,1,0,0,0,491,40476,24,12,49,1,1,5,0,0
0,457,38924,84,24,21,0,0,2,0,389,36053,21,24,60,2,0,1,0,1
0,397,35253,37,21,15,1,1,1,0,405,34039,15,21,64,1,0,3,0,1
0,396,34810,45,19,15,2,0,2,0,402,34819,15,19,43,0,0,2,0,0
0,470,40103,32,24,18,0,0,2,0,467,38295,18,24,48,2,0,4,0,1
0,383,31602,35,14,20,2,1,1,0,419,35227,20,14,41,0,0,3,0,0
0,443,35796,32,17,15,1,1,1,0,475,34656,15,17,33,1,0,3,0,0
0,414,38196,345,25,13,1,0,2,0,422,32643,13,25,42,2,1,1,0,0
0,425,33906,282,19,13,2,0,0,0,424,33695,13,19,32,0,1,3,0,0
0,412,35792,30,20,18,2,0,1,0,391,35756,18,20,35,0,1,3,0,1
0,459,28165,29,3,19,1,0,0,0,454,35228,19,3,34,1,1,2,0,0
0,380,37550,31,26,12,2,1,3,0,288,28260,12,26,34,0,0,1,0,1
0,437,37104,40,20,10,1,1,1,0,442,33093,10,20,175,1,0,4,0,1
0,487,34499,44,15,18,1,0,1,0,490,37181,18,15,32,1,1,3,0,1
0,416,35357,35,16,16,0,0,3,0,451,36992,16,16,41,2,1,2,0,0
0,421,34864,30,11,30,1,1,2,0,449,41527,30,11,34,2,0,4,0,0
0,443,32574,41,13,12,2,0,2,0,387,31007,12,13,44,0,1,2,0,1
0,436,39633,39,23,28,0,1,1,0,432,40119,28,23,34,3,0,4,0,0
0,373,35447,32,16,27,0,0,2,0,430,42604,27,16,41,1,1,5,1,1
0,398,32683,35,17,21,1,0,0,0,395,37839,21,17,124,2,1,2,0,0
0,433,52249,30,46,22,1,1,8,3,371,36282,22,46,36,1,0,3,0,1
0,419,36043,47,21,21,0,0,0,0,432,39454,21,21,32,3,1,3,0,0
0,447,33464,64,16,18,1,1,0,0,477,37662,18,16,52,2,0,3,0,0
0,448,38302,146,29,9,1,1,2,0,414,31781,9,29,45,0,0,2,0,1
0,339,34497,18,18,30,0,1,0,0,396,41976,30,18,35,2,0,7,0,0
0,431,37614,34,23,19,1,0,2,0,439,36826,19,23,39,1,1,2,0,1
0,432,36833,49,20,11,2,0,3,0,422,31903,11,20,36,0,1,1,0,0
0,474,38085,61,20,19,1,1,3,0,414,36570,19,20,42,1,0,3,0,1
0,420,34282,34,13,24,1,1,1,0,423,40287,24,13,95,2,0,6,0,0
0,470,40246,47,27,15,2,0,2,0,452,35769,15,27,45,1,1,1,0,1
0,448,34669,42,13,16,0,0,2,0,435,35522,16,13,175,2,1,2,0,0
0,404,31148,29,13,18,1,0,0,0,435,36588,18,13,101,1,0,4,0,0
0,411,38492,34,22,32,1,1,2,0,460,43138,32,22,44,2,0,4,0,1
0,420,36818,28,21,11,3,0,2,0,478,36237,11,21,45,0,1,5,0,1
0,446,35242,231,16,24,0,0,1,0,386,39422,24,16,35,2,1,4,0,0
0,402,42421,47,30,21,1,1,1,0,390,37848,21,30,31,2,0,3,0,1
0,439,40145,41,23,19,0,1,3,0,440,35583,19,23,38,2,0,2,0,1
0,397,32550,32,14,14,1,1,2,0,444,35174,14,14,53,1,0,2,0,1
0,394,36007,89,18,22,0,1,1,0,442,39522,22,18,55,2,0,4,0,1
0,447,35536,38,16,15,1,0,3,0,409,33345,15,16,35,1,1,1,0,1
0,452,40142,50,22,6,2,1,4,0,423,29814,6,22,42,1,0,2,1,1
0,535,39659,42,22,14,1,1,3,0,455,34098,14,22,41,0,0,1,0,1
0,405,39868,32,25,11,1,1,3,0,391,31682,11,25,178,1,1,3,0,1
0,466,43433,44,31,17,2,1,5,0,395,35546,17,31,28,0,0,1,0,1
0,475,32461,79,8,18,1,0,2,0,445,36896,18,8,34,2,1,4,0,0
0,445,34994,43,16,7,2,1,2,0,482,32139,7,16,42,0,0,3,0,1
0,386,32936,177,9,20,1,1,2,0,423,37177,20,9,32,2,0,4,0,0
0,395,37193,65,20,11,2,0,3,0,389,30425,11,20,143,0,1,1,0,0
0,414,29850,38,8,13,1,0,1,0,592,37317,13,8,68,2,1,3,0,0
0,491,37313,39,16,14,0,0,2,0,462,34822,14,16,42,3,1,2,0,0
